location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
dnk,mkt,daily,vw_cap,na,27,na,1986-05-21,0.0146073165
dnk,mkt,daily,vw_cap,na,25,na,1986-05-20,-0.014359669
dnk,mkt,daily,vw_cap,na,26,na,1986-05-29,-0.032671356
dnk,mkt,daily,vw_cap,na,26,na,1986-05-16,-0.033622676
dnk,mkt,daily,vw_cap,na,23,na,1986-05-15,-0.00948337
dnk,mkt,daily,vw_cap,na,28,na,1986-05-14,0.0047983466
dnk,mkt,daily,vw_cap,na,25,na,1986-05-13,-0.033956998
dnk,mkt,daily,vw_cap,na,26,na,1986-05-12,-0.00150053
dnk,mkt,daily,vw_cap,na,23,na,1986-05-09,0.004565704
dnk,mkt,daily,vw_cap,na,29,na,1986-05-08,0.0152473406
dnk,mkt,daily,vw_cap,na,28,na,1986-05-06,-0.028454925
dnk,mkt,daily,vw_cap,na,13,na,1986-05-05,-0.005063791
dnk,mkt,daily,vw_cap,na,22,na,1986-05-02,-0.000659174
dnk,mkt,daily,vw_cap,na,22,na,1986-05-01,-0.016842502
dnk,mkt,daily,vw_cap,na,23,na,1986-06-30,0.0100949813
dnk,mkt,daily,vw_cap,na,19,na,1986-06-27,0.0021126053
dnk,mkt,daily,vw_cap,na,17,na,1986-06-26,-0.014383901
dnk,mkt,daily,vw_cap,na,22,na,1986-06-25,0.0091085606
dnk,mkt,daily,vw_cap,na,27,na,1986-06-24,0.0176618931
dnk,mkt,daily,vw_cap,na,23,na,1986-06-23,0.0066282665
dnk,mkt,daily,vw_cap,na,30,na,1986-06-20,-0.020712544
dnk,mkt,daily,vw_cap,na,11,na,1986-06-19,-0.02672919
dnk,mkt,daily,vw_cap,na,23,na,1986-06-18,-0.016367448
dnk,mkt,daily,vw_cap,na,28,na,1986-06-17,-0.023495261
dnk,mkt,daily,vw_cap,na,27,na,1986-06-16,0.0039107245
dnk,mkt,daily,vw_cap,na,28,na,1986-06-13,0.0024740206
dnk,mkt,daily,vw_cap,na,29,na,1986-06-12,-0.017333843
dnk,mkt,daily,vw_cap,na,18,na,1986-06-11,-0.005294134
dnk,mkt,daily,vw_cap,na,26,na,1986-06-10,-0.004750075
dnk,mkt,daily,vw_cap,na,27,na,1986-06-09,0.0196892283
dnk,mkt,daily,vw_cap,na,11,na,1986-06-06,0.0198513979
dnk,mkt,daily,vw_cap,na,26,na,1986-06-04,0.0072902633
dnk,mkt,daily,vw_cap,na,26,na,1986-06-03,0.0392709948
dnk,mkt,daily,vw_cap,na,26,na,1986-06-02,-0.005296517
dnk,mkt,daily,vw_cap,na,26,na,1986-07-31,-0.016171373
dnk,mkt,daily,vw_cap,na,23,na,1986-07-29,0.0053948077
dnk,mkt,daily,vw_cap,na,21,na,1986-07-28,0.0053029471
dnk,mkt,daily,vw_cap,na,24,na,1986-07-25,-0.02438975
dnk,mkt,daily,vw_cap,na,26,na,1986-07-23,-0.0118187
dnk,mkt,daily,vw_cap,na,16,na,1986-07-22,-0.000900581
dnk,mkt,daily,vw_cap,na,20,na,1986-07-21,0.0048494646
dnk,mkt,daily,vw_cap,na,26,na,1986-07-30,0.013989216
dnk,mkt,daily,vw_cap,na,22,na,1986-07-18,0.0164598618
dnk,mkt,daily,vw_cap,na,22,na,1986-07-17,0.0144617875
dnk,mkt,daily,vw_cap,na,26,na,1986-07-16,-0.002894819
dnk,mkt,daily,vw_cap,na,21,na,1986-07-15,-0.016730402
dnk,mkt,daily,vw_cap,na,17,na,1986-07-14,-0.006136108
dnk,mkt,daily,vw_cap,na,27,na,1986-07-11,-0.014935382
dnk,mkt,daily,vw_cap,na,19,na,1986-07-10,-0.000424624
dnk,mkt,daily,vw_cap,na,27,na,1986-07-09,-0.016968939
dnk,mkt,daily,vw_cap,na,26,na,1986-07-08,-0.020312979
dnk,mkt,daily,vw_cap,na,23,na,1986-07-07,0.0051889804
dnk,mkt,daily,vw_cap,na,20,na,1986-07-04,0.0043901458
dnk,mkt,daily,vw_cap,na,11,na,1986-07-03,0.0122214024
dnk,mkt,daily,vw_cap,na,23,na,1986-07-02,0.0081729651
dnk,mkt,daily,vw_cap,na,21,na,1986-07-01,0.0177919867
dnk,mkt,daily,vw_cap,na,25,na,1986-08-29,0.0086262493
dnk,mkt,daily,vw_cap,na,24,na,1986-08-28,0.0079642891
dnk,mkt,daily,vw_cap,na,26,na,1986-08-26,-0.00939335
dnk,mkt,daily,vw_cap,na,20,na,1986-08-25,-0.015087844
dnk,mkt,daily,vw_cap,na,13,na,1986-08-22,0.0058155994
dnk,mkt,daily,vw_cap,na,23,na,1986-08-27,-0.007779411
dnk,mkt,daily,vw_cap,na,20,na,1986-08-21,-0.001063052
dnk,mkt,daily,vw_cap,na,30,na,1986-08-20,0.0130172508
dnk,mkt,daily,vw_cap,na,22,na,1986-08-19,-0.007685147
dnk,mkt,daily,vw_cap,na,24,na,1986-08-18,-0.00155988
dnk,mkt,daily,vw_cap,na,27,na,1986-08-15,-0.021969338
dnk,mkt,daily,vw_cap,na,24,na,1986-08-14,-0.018750209
dnk,mkt,daily,vw_cap,na,31,na,1986-08-13,-0.001536146
dnk,mkt,daily,vw_cap,na,24,na,1986-08-12,-0.01008815
dnk,mkt,daily,vw_cap,na,18,na,1986-08-11,-0.001874652
dnk,mkt,daily,vw_cap,na,27,na,1986-08-08,0.001099286
dnk,mkt,daily,vw_cap,na,26,na,1986-08-07,0.0170442793
dnk,mkt,daily,vw_cap,na,28,na,1986-08-06,0.0106233236
dnk,mkt,daily,vw_cap,na,29,na,1986-08-05,0.0227417702
dnk,mkt,daily,vw_cap,na,27,na,1986-08-04,0.0243091863
dnk,mkt,daily,vw_cap,na,27,na,1986-08-01,-0.0275074
dnk,mkt,daily,vw_cap,na,17,na,1986-09-29,-0.001219604
dnk,mkt,daily,vw_cap,na,17,na,1986-09-26,-0.002841352
dnk,mkt,daily,vw_cap,na,23,na,1986-09-25,-0.004397788
dnk,mkt,daily,vw_cap,na,26,na,1986-09-24,0.0119949784
dnk,mkt,daily,vw_cap,na,25,na,1986-09-23,-0.000247612
dnk,mkt,daily,vw_cap,na,25,na,1986-09-22,-0.006447273
dnk,mkt,daily,vw_cap,na,22,na,1986-09-19,0.0118623021
dnk,mkt,daily,vw_cap,na,10,na,1986-09-30,-0.001774427
dnk,mkt,daily,vw_cap,na,10,na,1986-09-18,0.0239642482
dnk,mkt,daily,vw_cap,na,19,na,1986-09-17,0.0168501023
dnk,mkt,daily,vw_cap,na,20,na,1986-09-16,0.0100166224
dnk,mkt,daily,vw_cap,na,24,na,1986-09-15,-0.001383243
dnk,mkt,daily,vw_cap,na,20,na,1986-09-12,0.0072227056
dnk,mkt,daily,vw_cap,na,20,na,1986-09-11,-0.000213098
dnk,mkt,daily,vw_cap,na,23,na,1986-09-10,0.0136813393
dnk,mkt,daily,vw_cap,na,14,na,1986-09-09,-0.000589321
dnk,mkt,daily,vw_cap,na,21,na,1986-09-08,-0.00965158
dnk,mkt,daily,vw_cap,na,23,na,1986-09-05,-0.007512129
dnk,mkt,daily,vw_cap,na,20,na,1986-09-04,-0.016632174
dnk,mkt,daily,vw_cap,na,22,na,1986-09-03,-0.004775547
dnk,mkt,daily,vw_cap,na,21,na,1986-09-02,-0.009706267
dnk,mkt,daily,vw_cap,na,17,na,1986-09-01,0.0131055699
dnk,mkt,daily,vw_cap,na,24,na,1986-10-31,-0.005722549
dnk,mkt,daily,vw_cap,na,21,na,1986-10-30,-0.0075151
dnk,mkt,daily,vw_cap,na,25,na,1986-10-29,-0.002574129
dnk,mkt,daily,vw_cap,na,22,na,1986-10-27,-0.014887691
dnk,mkt,daily,vw_cap,na,24,na,1986-10-24,-0.018661812
dnk,mkt,daily,vw_cap,na,16,na,1986-10-23,-0.002295752
dnk,mkt,daily,vw_cap,na,28,na,1986-10-28,-0.004375829
dnk,mkt,daily,vw_cap,na,30,na,1986-10-22,-0.001966162
dnk,mkt,daily,vw_cap,na,11,na,1986-10-21,-0.002756191
dnk,mkt,daily,vw_cap,na,27,na,1986-10-20,0.009127249
dnk,mkt,daily,vw_cap,na,21,na,1986-10-17,0.0076198595
dnk,mkt,daily,vw_cap,na,27,na,1986-10-16,0.0054100276
dnk,mkt,daily,vw_cap,na,13,na,1986-10-15,0.0115048383
dnk,mkt,daily,vw_cap,na,21,na,1986-10-14,0.0101627698
dnk,mkt,daily,vw_cap,na,20,na,1986-10-13,0.0084107085
dnk,mkt,daily,vw_cap,na,24,na,1986-10-10,-0.000211534
dnk,mkt,daily,vw_cap,na,22,na,1986-10-09,0.0100834496
dnk,mkt,daily,vw_cap,na,26,na,1986-10-08,0.0037162283
dnk,mkt,daily,vw_cap,na,29,na,1986-10-07,-0.00576054
dnk,mkt,daily,vw_cap,na,20,na,1986-10-03,-0.000995656
dnk,mkt,daily,vw_cap,na,20,na,1986-10-02,-0.000365768
dnk,mkt,daily,vw_cap,na,28,na,1986-10-01,-0.005151364
dnk,mkt,daily,vw_cap,na,20,na,1986-11-28,0.0044236491
dnk,mkt,daily,vw_cap,na,29,na,1986-11-27,0.0235779502
dnk,mkt,daily,vw_cap,na,22,na,1986-11-26,-0.001404932
dnk,mkt,daily,vw_cap,na,18,na,1986-11-25,0.0094091213
dnk,mkt,daily,vw_cap,na,21,na,1986-11-24,0.0011493803
dnk,mkt,daily,vw_cap,na,22,na,1986-11-21,-0.006117437
dnk,mkt,daily,vw_cap,na,23,na,1986-11-20,0.0074550593
dnk,mkt,daily,vw_cap,na,14,na,1986-11-19,0.012097863
dnk,mkt,daily,vw_cap,na,27,na,1986-11-18,-0.013487318
dnk,mkt,daily,vw_cap,na,9,na,1986-11-17,-0.003151296
dnk,mkt,daily,vw_cap,na,22,na,1986-11-14,0.0021183426
dnk,mkt,daily,vw_cap,na,28,na,1986-11-13,0.0273686123
dnk,mkt,daily,vw_cap,na,24,na,1986-11-12,0.010404135
dnk,mkt,daily,vw_cap,na,27,na,1986-11-11,-0.005401247
dnk,mkt,daily,vw_cap,na,28,na,1986-11-10,-0.017959182
dnk,mkt,daily,vw_cap,na,24,na,1986-11-07,-0.008958251
dnk,mkt,daily,vw_cap,na,23,na,1986-11-06,0.0052308699
dnk,mkt,daily,vw_cap,na,27,na,1986-11-05,-0.010731307
dnk,mkt,daily,vw_cap,na,22,na,1986-11-04,0.0036005309
dnk,mkt,daily,vw_cap,na,23,na,1986-11-03,-0.010342998
dnk,mkt,daily,vw_cap,na,23,na,1986-12-30,0.0091341657
dnk,mkt,daily,vw_cap,na,31,na,1986-12-26,0.0039295506
dnk,mkt,daily,vw_cap,na,25,na,1986-12-23,0.0129998802
dnk,mkt,daily,vw_cap,na,21,na,1986-12-22,0.012460013
dnk,mkt,daily,vw_cap,na,27,na,1986-12-19,0.004930562
dnk,mkt,daily,vw_cap,na,19,na,1986-12-29,0.0060049973
dnk,mkt,daily,vw_cap,na,23,na,1986-12-17,0.0012367158
dnk,mkt,daily,vw_cap,na,26,na,1986-12-16,-0.011822608
dnk,mkt,daily,vw_cap,na,27,na,1986-12-15,0.0042162803
dnk,mkt,daily,vw_cap,na,27,na,1986-12-12,-0.010993235
dnk,mkt,daily,vw_cap,na,25,na,1986-12-11,-0.020133013
dnk,mkt,daily,vw_cap,na,19,na,1986-12-10,-0.003450073
dnk,mkt,daily,vw_cap,na,21,na,1986-12-09,-0.000701132
dnk,mkt,daily,vw_cap,na,24,na,1986-12-08,-0.01527287
dnk,mkt,daily,vw_cap,na,8,na,1986-12-05,-0.000376419
dnk,mkt,daily,vw_cap,na,27,na,1986-12-04,0.0106084771
dnk,mkt,daily,vw_cap,na,25,na,1986-12-03,0.0233965188
dnk,mkt,daily,vw_cap,na,20,na,1986-12-02,0.009769831
dnk,mkt,daily,vw_cap,na,24,na,1986-12-01,0.0058390209
dnk,mkt,daily,vw_cap,na,24,na,1987-01-30,-0.010141722
dnk,mkt,daily,vw_cap,na,10,na,1987-01-29,0.0005630732
dnk,mkt,daily,vw_cap,na,25,na,1987-01-28,0.0205545352
dnk,mkt,daily,vw_cap,na,26,na,1987-01-26,0.004023831
