location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
dnk,mkt,monthly,vw_cap,na,33,na,1992-12-31,-0.01207784
dnk,mkt,monthly,vw_cap,na,34,na,1993-01-31,0.1211182079
dnk,mkt,monthly,vw_cap,na,34,na,1993-02-28,-0.038431574
dnk,mkt,monthly,vw_cap,na,34,na,1993-03-31,0.0181916854
dnk,mkt,monthly,vw_cap,na,34,na,1993-04-30,0.0579323147
dnk,mkt,monthly,vw_cap,na,34,na,1993-05-31,0.0273512574
dnk,mkt,monthly,vw_cap,na,34,na,1993-06-30,-0.022543804
dnk,mkt,monthly,vw_cap,na,34,na,1993-07-31,-0.032051796
dnk,mkt,monthly,vw_cap,na,34,na,1993-08-31,0.034952864
dnk,mkt,monthly,vw_cap,na,74,na,1993-09-30,0.0336282205
dnk,mkt,monthly,vw_cap,na,72,na,1993-10-31,0.0449603728
dnk,mkt,monthly,vw_cap,na,80,na,1993-11-30,-0.019334662
dnk,mkt,monthly,vw_cap,na,80,na,1993-12-31,0.0562729193
dnk,mkt,monthly,vw_cap,na,80,na,1994-01-31,0.1187047215
dnk,mkt,monthly,vw_cap,na,82,na,1994-02-28,-0.011725261
dnk,mkt,monthly,vw_cap,na,84,na,1994-03-31,-0.026552071
dnk,mkt,monthly,vw_cap,na,82,na,1994-04-30,0.008662503
dnk,mkt,monthly,vw_cap,na,78,na,1994-05-31,-0.047383213
dnk,mkt,monthly,vw_cap,na,76,na,1994-06-30,0.0318684294
dnk,mkt,monthly,vw_cap,na,74,na,1994-07-31,0.0372587496
dnk,mkt,monthly,vw_cap,na,76,na,1994-08-31,-0.058024978
dnk,mkt,monthly,vw_cap,na,87,na,1994-09-30,0.0016277683
dnk,mkt,monthly,vw_cap,na,85,na,1994-10-31,0.0184781385
dnk,mkt,monthly,vw_cap,na,85,na,1994-11-30,-0.039015511
dnk,mkt,monthly,vw_cap,na,85,na,1994-12-31,0.0241913732
dnk,mkt,monthly,vw_cap,na,85,na,1995-01-31,0.0219355793
dnk,mkt,monthly,vw_cap,na,86,na,1995-02-28,0.0302520919
dnk,mkt,monthly,vw_cap,na,88,na,1995-03-31,0.0039162453
dnk,mkt,monthly,vw_cap,na,86,na,1995-04-30,0.0394254218
dnk,mkt,monthly,vw_cap,na,85,na,1995-05-31,0.0295319515
dnk,mkt,monthly,vw_cap,na,86,na,1995-06-30,-0.007856613
dnk,mkt,monthly,vw_cap,na,84,na,1995-07-31,0.0582072889
dnk,mkt,monthly,vw_cap,na,83,na,1995-08-31,-0.062287598
dnk,mkt,monthly,vw_cap,na,85,na,1995-09-30,0.0058078813
dnk,mkt,monthly,vw_cap,na,86,na,1995-10-31,-0.001754183
dnk,mkt,monthly,vw_cap,na,87,na,1995-11-30,-0.010156882
dnk,mkt,monthly,vw_cap,na,110,na,1995-12-31,0.013931629
dnk,mkt,monthly,vw_cap,na,110,na,1996-01-31,0.0153783263
dnk,mkt,monthly,vw_cap,na,109,na,1996-02-29,0.0062276518
dnk,mkt,monthly,vw_cap,na,109,na,1996-03-31,-0.014316237
dnk,mkt,monthly,vw_cap,na,107,na,1996-04-30,-0.007481055
dnk,mkt,monthly,vw_cap,na,108,na,1996-05-31,0.0105660008
dnk,mkt,monthly,vw_cap,na,109,na,1996-06-30,0.0217047801
dnk,mkt,monthly,vw_cap,na,110,na,1996-07-31,0.0111741996
dnk,mkt,monthly,vw_cap,na,114,na,1996-08-31,0.0402236102
dnk,mkt,monthly,vw_cap,na,113,na,1996-09-30,0.0034813944
dnk,mkt,monthly,vw_cap,na,112,na,1996-10-31,0.0284299268
dnk,mkt,monthly,vw_cap,na,111,na,1996-11-30,0.0146403827
dnk,mkt,monthly,vw_cap,na,111,na,1996-12-31,0.0168289258
dnk,mkt,monthly,vw_cap,na,124,na,1997-01-31,0.0365225002
dnk,mkt,monthly,vw_cap,na,148,na,1997-02-28,-0.003224498
dnk,mkt,monthly,vw_cap,na,148,na,1997-03-31,-0.004247032
dnk,mkt,monthly,vw_cap,na,148,na,1997-04-30,-0.016174366
dnk,mkt,monthly,vw_cap,na,146,na,1997-05-31,0.0614565813
dnk,mkt,monthly,vw_cap,na,146,na,1997-06-30,0.009021576
dnk,mkt,monthly,vw_cap,na,146,na,1997-07-31,0.0266873102
dnk,mkt,monthly,vw_cap,na,147,na,1997-08-31,-0.044954174
dnk,mkt,monthly,vw_cap,na,148,na,1997-09-30,0.0788624929
dnk,mkt,monthly,vw_cap,na,148,na,1997-10-31,-0.015588312
dnk,mkt,monthly,vw_cap,na,143,na,1997-11-30,-0.012528852
dnk,mkt,monthly,vw_cap,na,142,na,1997-12-31,0.0430113965
dnk,mkt,monthly,vw_cap,na,145,na,1998-01-31,0.0142748312
dnk,mkt,monthly,vw_cap,na,144,na,1998-02-28,0.0078009203
dnk,mkt,monthly,vw_cap,na,142,na,1998-03-31,0.0818924378
dnk,mkt,monthly,vw_cap,na,147,na,1998-04-30,-0.012928838
dnk,mkt,monthly,vw_cap,na,145,na,1998-05-31,0.0171588897
dnk,mkt,monthly,vw_cap,na,143,na,1998-06-30,-0.014269199
dnk,mkt,monthly,vw_cap,na,145,na,1998-07-31,0.0073608488
dnk,mkt,monthly,vw_cap,na,145,na,1998-08-31,-0.113238771
dnk,mkt,monthly,vw_cap,na,143,na,1998-09-30,-0.026500381
dnk,mkt,monthly,vw_cap,na,143,na,1998-10-31,0.0285937333
dnk,mkt,monthly,vw_cap,na,142,na,1998-11-30,-0.041190922
dnk,mkt,monthly,vw_cap,na,142,na,1998-12-31,0.0520754936
dnk,mkt,monthly,vw_cap,na,143,na,1999-01-31,-0.024270701
dnk,mkt,monthly,vw_cap,na,144,na,1999-02-28,-0.068310101
dnk,mkt,monthly,vw_cap,na,141,na,1999-03-31,-0.034946185
dnk,mkt,monthly,vw_cap,na,144,na,1999-04-30,0.041309512
dnk,mkt,monthly,vw_cap,na,142,na,1999-05-31,-0.024633227
dnk,mkt,monthly,vw_cap,na,142,na,1999-06-30,0.0057940817
dnk,mkt,monthly,vw_cap,na,139,na,1999-07-31,0.0452689217
dnk,mkt,monthly,vw_cap,na,140,na,1999-08-31,-0.000530518
dnk,mkt,monthly,vw_cap,na,139,na,1999-09-30,0.010731294
dnk,mkt,monthly,vw_cap,na,137,na,1999-10-31,0.0125501436
dnk,mkt,monthly,vw_cap,na,135,na,1999-11-30,0.0238575344
dnk,mkt,monthly,vw_cap,na,139,na,1999-12-31,0.0176901205
dnk,mkt,monthly,vw_cap,na,142,na,2000-01-31,-0.029039026
dnk,mkt,monthly,vw_cap,na,143,na,2000-02-29,0.0366161318
dnk,mkt,monthly,vw_cap,na,142,na,2000-03-31,0.0774826448
dnk,mkt,monthly,vw_cap,na,144,na,2000-04-30,-0.057195612
dnk,mkt,monthly,vw_cap,na,142,na,2000-05-31,0.035653272
dnk,mkt,monthly,vw_cap,na,138,na,2000-06-30,0.0128610822
dnk,mkt,monthly,vw_cap,na,136,na,2000-07-31,0.0345538351
dnk,mkt,monthly,vw_cap,na,136,na,2000-08-31,0.0408758693
dnk,mkt,monthly,vw_cap,na,143,na,2000-09-30,-0.000481418
dnk,mkt,monthly,vw_cap,na,142,na,2000-10-31,-0.010270848
dnk,mkt,monthly,vw_cap,na,140,na,2000-11-30,-0.05653946
dnk,mkt,monthly,vw_cap,na,141,na,2000-12-31,0.0766709022
dnk,mkt,monthly,vw_cap,na,138,na,2001-01-31,0.0947536163
dnk,mkt,monthly,vw_cap,na,141,na,2001-02-28,-0.083168858
dnk,mkt,monthly,vw_cap,na,146,na,2001-03-31,-0.115427067
dnk,mkt,monthly,vw_cap,na,142,na,2001-04-30,0.0415119447
dnk,mkt,monthly,vw_cap,na,148,na,2001-05-31,0.0116035876
dnk,mkt,monthly,vw_cap,na,153,na,2001-06-30,-0.043048211
dnk,mkt,monthly,vw_cap,na,151,na,2001-07-31,0.0249075503
dnk,mkt,monthly,vw_cap,na,146,na,2001-08-31,-0.063378578
dnk,mkt,monthly,vw_cap,na,141,na,2001-09-30,-0.11053121
dnk,mkt,monthly,vw_cap,na,144,na,2001-10-31,0.0290933865
dnk,mkt,monthly,vw_cap,na,143,na,2001-11-30,0.0152638227
dnk,mkt,monthly,vw_cap,na,146,na,2001-12-31,-0.015151947
dnk,mkt,monthly,vw_cap,na,151,na,2002-01-31,-0.023897451
dnk,mkt,monthly,vw_cap,na,151,na,2002-02-28,0.0372970639
dnk,mkt,monthly,vw_cap,na,149,na,2002-03-31,0.0307973883
dnk,mkt,monthly,vw_cap,na,165,na,2002-04-30,-0.021936152
dnk,mkt,monthly,vw_cap,na,183,na,2002-05-31,0.0273048021
dnk,mkt,monthly,vw_cap,na,179,na,2002-06-30,0.0202614741
dnk,mkt,monthly,vw_cap,na,176,na,2002-07-31,-0.098187053
dnk,mkt,monthly,vw_cap,na,174,na,2002-08-31,0.0166553148
dnk,mkt,monthly,vw_cap,na,170,na,2002-09-30,-0.122105417
dnk,mkt,monthly,vw_cap,na,171,na,2002-10-31,0.0380659761
dnk,mkt,monthly,vw_cap,na,168,na,2002-11-30,0.024682208
dnk,mkt,monthly,vw_cap,na,169,na,2002-12-31,0.040713913
dnk,mkt,monthly,vw_cap,na,170,na,2003-01-31,-0.022787934
dnk,mkt,monthly,vw_cap,na,171,na,2003-02-28,-0.035423131
dnk,mkt,monthly,vw_cap,na,170,na,2003-03-31,0.0613918212
dnk,mkt,monthly,vw_cap,na,167,na,2003-04-30,0.1253974893
dnk,mkt,monthly,vw_cap,na,167,na,2003-05-31,0.0928753652
dnk,mkt,monthly,vw_cap,na,169,na,2003-06-30,0.0200413454
dnk,mkt,monthly,vw_cap,na,169,na,2003-07-31,-0.011645942
dnk,mkt,monthly,vw_cap,na,169,na,2003-08-31,0.0713172851
dnk,mkt,monthly,vw_cap,na,175,na,2003-09-30,0.0518507061
dnk,mkt,monthly,vw_cap,na,174,na,2003-10-31,0.0593784958
dnk,mkt,monthly,vw_cap,na,170,na,2003-11-30,-0.00520446
dnk,mkt,monthly,vw_cap,na,171,na,2003-12-31,0.0701409706
dnk,mkt,monthly,vw_cap,na,172,na,2004-01-31,0.0753571273
dnk,mkt,monthly,vw_cap,na,176,na,2004-02-29,0.0374895283
dnk,mkt,monthly,vw_cap,na,176,na,2004-03-31,-0.025307202
dnk,mkt,monthly,vw_cap,na,173,na,2004-04-30,-0.012821475
dnk,mkt,monthly,vw_cap,na,174,na,2004-05-31,0.0145678642
dnk,mkt,monthly,vw_cap,na,171,na,2004-06-30,0.0396687287
dnk,mkt,monthly,vw_cap,na,167,na,2004-07-31,-0.014756944
dnk,mkt,monthly,vw_cap,na,165,na,2004-08-31,0.0090420184
dnk,mkt,monthly,vw_cap,na,172,na,2004-09-30,0.0598814835
dnk,mkt,monthly,vw_cap,na,175,na,2004-10-31,0.0117154043
dnk,mkt,monthly,vw_cap,na,173,na,2004-11-30,0.0981411862
dnk,mkt,monthly,vw_cap,na,169,na,2004-12-31,0.0512831058
dnk,mkt,monthly,vw_cap,na,172,na,2005-01-31,-0.017840223
dnk,mkt,monthly,vw_cap,na,173,na,2005-02-28,0.0673863081
dnk,mkt,monthly,vw_cap,na,172,na,2005-03-31,0.0086051062
dnk,mkt,monthly,vw_cap,na,171,na,2005-04-30,-0.016842022
dnk,mkt,monthly,vw_cap,na,169,na,2005-05-31,0.0219867954
dnk,mkt,monthly,vw_cap,na,169,na,2005-06-30,0.0316744649
dnk,mkt,monthly,vw_cap,na,169,na,2005-07-31,0.035349125
dnk,mkt,monthly,vw_cap,na,169,na,2005-08-31,0.032007223
dnk,mkt,monthly,vw_cap,na,170,na,2005-09-30,0.0129262933
dnk,mkt,monthly,vw_cap,na,170,na,2005-10-31,-0.03397575
dnk,mkt,monthly,vw_cap,na,170,na,2005-11-30,0.0103395652
dnk,mkt,monthly,vw_cap,na,169,na,2005-12-31,0.0634734301
dnk,mkt,monthly,vw_cap,na,169,na,2006-01-31,0.0496708464
dnk,mkt,monthly,vw_cap,na,169,na,2006-02-28,0.0115670843
dnk,mkt,monthly,vw_cap,na,170,na,2006-03-31,0.0692575211
dnk,mkt,monthly,vw_cap,na,170,na,2006-04-30,0.0773151683
dnk,mkt,monthly,vw_cap,na,169,na,2006-05-31,-0.03786942
dnk,mkt,monthly,vw_cap,na,169,na,2006-06-30,-0.020738363
dnk,mkt,monthly,vw_cap,na,169,na,2006-07-31,0.0072512947
dnk,mkt,monthly,vw_cap,na,174,na,2006-08-31,0.0354781358
dnk,mkt,monthly,vw_cap,na,174,na,2006-09-30,0.0217415863
dnk,mkt,monthly,vw_cap,na,176,na,2006-10-31,0.0404284927
dnk,mkt,monthly,vw_cap,na,179,na,2006-11-30,0.0744496149
dnk,mkt,monthly,vw_cap,na,183,na,2006-12-31,0.0415236094
dnk,mkt,monthly,vw_cap,na,189,na,2007-01-31,0.0132219064
dnk,mkt,monthly,vw_cap,na,189,na,2007-02-28,-0.007424521
dnk,mkt,monthly,vw_cap,na,191,na,2007-03-31,0.0368135844
dnk,mkt,monthly,vw_cap,na,192,na,2007-04-30,0.0686698481
dnk,mkt,monthly,vw_cap,na,193,na,2007-05-31,0.0242697878
dnk,mkt,monthly,vw_cap,na,196,na,2007-06-30,-0.019362117
dnk,mkt,monthly,vw_cap,na,204,na,2007-07-31,0.0339167672
dnk,mkt,monthly,vw_cap,na,204,na,2007-08-31,-0.022984916
dnk,mkt,monthly,vw_cap,na,206,na,2007-09-30,0.0414907939
dnk,mkt,monthly,vw_cap,na,208,na,2007-10-31,0.0351038418
dnk,mkt,monthly,vw_cap,na,208,na,2007-11-30,-0.061370643
dnk,mkt,monthly,vw_cap,na,196,na,2007-12-31,-0.016489572
dnk,mkt,monthly,vw_cap,na,198,na,2008-01-31,-0.126255344
dnk,mkt,monthly,vw_cap,na,211,na,2008-02-29,0.064225383
dnk,mkt,monthly,vw_cap,na,213,na,2008-03-31,0.0337561818
dnk,mkt,monthly,vw_cap,na,214,na,2008-04-30,0.0083731259
dnk,mkt,monthly,vw_cap,na,215,na,2008-05-31,0.0327844222
dnk,mkt,monthly,vw_cap,na,216,na,2008-06-30,-0.080137924
dnk,mkt,monthly,vw_cap,na,216,na,2008-07-31,-0.037020891
dnk,mkt,monthly,vw_cap,na,212,na,2008-08-31,-0.055232661
dnk,mkt,monthly,vw_cap,na,212,na,2008-09-30,-0.199668214
dnk,mkt,monthly,vw_cap,na,215,na,2008-10-31,-0.263987836
dnk,mkt,monthly,vw_cap,na,209,na,2008-11-30,-0.090122034
dnk,mkt,monthly,vw_cap,na,209,na,2008-12-31,0.0609882663
dnk,mkt,monthly,vw_cap,na,207,na,2009-01-31,-0.061147917
dnk,mkt,monthly,vw_cap,na,204,na,2009-02-28,-0.099134824
dnk,mkt,monthly,vw_cap,na,201,na,2009-03-31,0.0200447174
dnk,mkt,monthly,vw_cap,na,200,na,2009-04-30,0.1860662781
dnk,mkt,monthly,vw_cap,na,201,na,2009-05-31,0.16894149
dnk,mkt,monthly,vw_cap,na,201,na,2009-06-30,-0.031278547
dnk,mkt,monthly,vw_cap,na,200,na,2009-07-31,0.0826639353
dnk,mkt,monthly,vw_cap,na,202,na,2009-08-31,0.0726947424
dnk,mkt,monthly,vw_cap,na,207,na,2009-09-30,0.0530112085
dnk,mkt,monthly,vw_cap,na,207,na,2009-10-31,-0.02730878
dnk,mkt,monthly,vw_cap,na,206,na,2009-11-30,0.0263738305
dnk,mkt,monthly,vw_cap,na,203,na,2009-12-31,0.0005102342
dnk,mkt,monthly,vw_cap,na,203,na,2010-01-31,0.0151768296
dnk,mkt,monthly,vw_cap,na,202,na,2010-02-28,-0.026791309
dnk,mkt,monthly,vw_cap,na,203,na,2010-03-31,0.0582631207
dnk,mkt,monthly,vw_cap,na,205,na,2010-04-30,0.0244269199
dnk,mkt,monthly,vw_cap,na,204,na,2010-05-31,-0.129433109
dnk,mkt,monthly,vw_cap,na,200,na,2010-06-30,-0.015154616
dnk,mkt,monthly,vw_cap,na,200,na,2010-07-31,0.1087281816
dnk,mkt,monthly,vw_cap,na,202,na,2010-08-31,-0.069497
dnk,mkt,monthly,vw_cap,na,200,na,2010-09-30,0.1281736921
dnk,mkt,monthly,vw_cap,na,195,na,2010-10-31,0.0337958736
dnk,mkt,monthly,vw_cap,na,195,na,2010-11-30,-0.05433931
dnk,mkt,monthly,vw_cap,na,197,na,2010-12-31,0.0781399832
dnk,mkt,monthly,vw_cap,na,196,na,2011-01-31,0.0443744323
dnk,mkt,monthly,vw_cap,na,195,na,2011-02-28,0.0039615397
dnk,mkt,monthly,vw_cap,na,195,na,2011-03-31,0.0219119961
dnk,mkt,monthly,vw_cap,na,194,na,2011-04-30,0.0461300183
dnk,mkt,monthly,vw_cap,na,193,na,2011-05-31,-0.040739833
dnk,mkt,monthly,vw_cap,na,192,na,2011-06-30,-0.047893718
dnk,mkt,monthly,vw_cap,na,187,na,2011-07-31,-0.027780281
dnk,mkt,monthly,vw_cap,na,186,na,2011-08-31,-0.128314578
dnk,mkt,monthly,vw_cap,na,187,na,2011-09-30,-0.101269164
dnk,mkt,monthly,vw_cap,na,183,na,2011-10-31,0.0715708323
dnk,mkt,monthly,vw_cap,na,183,na,2011-11-30,-0.001036295
dnk,mkt,monthly,vw_cap,na,185,na,2011-12-31,-0.041580156
dnk,mkt,monthly,vw_cap,na,185,na,2012-01-31,0.0691589274
dnk,mkt,monthly,vw_cap,na,185,na,2012-02-29,0.0912381115
dnk,mkt,monthly,vw_cap,na,184,na,2012-03-31,-0.009510559
dnk,mkt,monthly,vw_cap,na,182,na,2012-04-30,0.0055772495
dnk,mkt,monthly,vw_cap,na,183,na,2012-05-31,-0.106823258
dnk,mkt,monthly,vw_cap,na,181,na,2012-06-30,0.0301498093
dnk,mkt,monthly,vw_cap,na,181,na,2012-07-31,0.0259944409
dnk,mkt,monthly,vw_cap,na,181,na,2012-08-31,0.0510809947
dnk,mkt,monthly,vw_cap,na,182,na,2012-09-30,0.0398587195
dnk,mkt,monthly,vw_cap,na,181,na,2012-10-31,-0.011212622
dnk,mkt,monthly,vw_cap,na,178,na,2012-11-30,0.0227774825
dnk,mkt,monthly,vw_cap,na,175,na,2012-12-31,0.0286241515
dnk,mkt,monthly,vw_cap,na,175,na,2013-01-31,0.0855067992
dnk,mkt,monthly,vw_cap,na,175,na,2013-02-28,0.0044608551
dnk,mkt,monthly,vw_cap,na,173,na,2013-03-31,0.003367255
dnk,mkt,monthly,vw_cap,na,172,na,2013-04-30,0.0357229626
dnk,mkt,monthly,vw_cap,na,173,na,2013-05-31,0.0134968764
dnk,mkt,monthly,vw_cap,na,170,na,2013-06-30,-0.034866369
dnk,mkt,monthly,vw_cap,na,171,na,2013-07-31,0.0873828065
dnk,mkt,monthly,vw_cap,na,172,na,2013-08-31,0.0042893503
dnk,mkt,monthly,vw_cap,na,170,na,2013-09-30,0.0754969509
dnk,mkt,monthly,vw_cap,na,167,na,2013-10-31,0.0460075995
dnk,mkt,monthly,vw_cap,na,167,na,2013-11-30,0.0244829918
dnk,mkt,monthly,vw_cap,na,167,na,2013-12-31,0.0441753911
dnk,mkt,monthly,vw_cap,na,165,na,2014-01-31,-0.002004279
dnk,mkt,monthly,vw_cap,na,163,na,2014-02-28,0.0978904618
dnk,mkt,monthly,vw_cap,na,162,na,2014-03-31,-0.007901412
dnk,mkt,monthly,vw_cap,na,156,na,2014-04-30,0.0229255965
dnk,mkt,monthly,vw_cap,na,156,na,2014-05-31,0.0276681621
dnk,mkt,monthly,vw_cap,na,157,na,2014-06-30,0.0154960234
dnk,mkt,monthly,vw_cap,na,158,na,2014-07-31,-0.044692078
dnk,mkt,monthly,vw_cap,na,156,na,2014-08-31,-0.022750549
dnk,mkt,monthly,vw_cap,na,156,na,2014-09-30,-0.036047783
dnk,mkt,monthly,vw_cap,na,155,na,2014-10-31,0.0004221965
dnk,mkt,monthly,vw_cap,na,154,na,2014-11-30,0.0095158583
dnk,mkt,monthly,vw_cap,na,152,na,2014-12-31,-0.0247935
dnk,mkt,monthly,vw_cap,na,153,na,2015-01-31,-0.014499095
dnk,mkt,monthly,vw_cap,na,152,na,2015-02-28,0.0758119143
dnk,mkt,monthly,vw_cap,na,151,na,2015-03-31,0.0026572141
dnk,mkt,monthly,vw_cap,na,153,na,2015-04-30,0.055166149
dnk,mkt,monthly,vw_cap,na,152,na,2015-05-31,0.0064082911
dnk,mkt,monthly,vw_cap,na,152,na,2015-06-30,-0.015521889
dnk,mkt,monthly,vw_cap,na,152,na,2015-07-31,0.0482605697
dnk,mkt,monthly,vw_cap,na,148,na,2015-08-31,-0.030440919
dnk,mkt,monthly,vw_cap,na,148,na,2015-09-30,-0.018356636
dnk,mkt,monthly,vw_cap,na,148,na,2015-10-31,0.0177798254
dnk,mkt,monthly,vw_cap,na,148,na,2015-11-30,0.0429103535
dnk,mkt,monthly,vw_cap,na,148,na,2015-12-31,0.0268428185
dnk,mkt,monthly,vw_cap,na,147,na,2016-01-31,-0.048959863
dnk,mkt,monthly,vw_cap,na,146,na,2016-02-29,0.0041457027
