location,name,freq,weighting,n_factors,date,ret
dnk,accruals,monthly,vw_cap,5,1997-09-30,-0.0490824136722975
dnk,accruals,monthly,vw_cap,5,1997-10-31,0.0486656902240438
dnk,accruals,monthly,vw_cap,5,1997-11-30,-0.00840285206637384
dnk,accruals,monthly,vw_cap,5,1997-12-31,-0.0372376382839073
dnk,accruals,monthly,vw_cap,5,1998-01-31,0.00684494557318777
dnk,accruals,monthly,vw_cap,5,1998-02-28,-0.0106854029744805
dnk,accruals,monthly,vw_cap,5,1998-03-31,0.102261896952928
dnk,accruals,monthly,vw_cap,5,1998-04-30,0.00986213858543036
dnk,accruals,monthly,vw_cap,5,1998-05-31,0.0364149801638741
dnk,accruals,monthly,vw_cap,5,1998-06-30,-0.0206460767515647
dnk,accruals,monthly,vw_cap,5,1998-07-31,-0.0300725260372681
dnk,accruals,monthly,vw_cap,5,1998-08-31,0.00235753287833537
dnk,accruals,monthly,vw_cap,5,1998-09-30,-0.00278918151711007
dnk,accruals,monthly,vw_cap,5,1998-10-31,0.0503310535001773
dnk,accruals,monthly,vw_cap,5,1998-11-30,-0.0238506920938574
dnk,accruals,monthly,vw_cap,5,1998-12-31,0.0279606157793176
dnk,accruals,monthly,vw_cap,5,1999-01-31,-0.0287271693525977
dnk,accruals,monthly,vw_cap,5,1999-02-28,-0.0178675449699965
dnk,accruals,monthly,vw_cap,5,1999-03-31,0.0194645365395002
dnk,accruals,monthly,vw_cap,5,1999-04-30,0.0198522557795638
dnk,accruals,monthly,vw_cap,5,1999-05-31,0.00734838352529776
dnk,accruals,monthly,vw_cap,5,1999-06-30,-0.0397375454312645
dnk,accruals,monthly,vw_cap,5,1999-07-31,0.0663058858480996
dnk,accruals,monthly,vw_cap,5,1999-08-31,-0.0458609523265561
dnk,accruals,monthly,vw_cap,5,1999-09-30,-0.036757037597693
dnk,accruals,monthly,vw_cap,5,1999-10-31,0.0176960442200671
dnk,accruals,monthly,vw_cap,5,1999-11-30,0.012267946437679
dnk,accruals,monthly,vw_cap,5,1999-12-31,-0.00148361432540024
dnk,accruals,monthly,vw_cap,5,2000-01-31,0.0746825153606521
dnk,accruals,monthly,vw_cap,5,2000-02-29,0.0943877516701477
dnk,accruals,monthly,vw_cap,5,2000-03-31,-0.0279831283036223
dnk,accruals,monthly,vw_cap,5,2000-04-30,0.00398248895632792
dnk,accruals,monthly,vw_cap,5,2000-05-31,-0.0027444165644844
dnk,accruals,monthly,vw_cap,5,2000-06-30,0.02097743619592
dnk,accruals,monthly,vw_cap,5,2000-07-31,-0.0634220736938715
dnk,accruals,monthly,vw_cap,5,2000-08-31,-0.0885345476265758
dnk,accruals,monthly,vw_cap,5,2000-09-30,-0.0142625712309691
